Ticker,Description,Exchange,Bollinger Lower Band (20),Relative Strength Index (14),Relative Volume,Average Volume (10 day),Volume,High,Last,Low,Average Day Range (14),ADRTOPRICE,Hull Moving Average (9),Exponential Moving Average (10),"Change 5m, %","Change 15m, %","Change 1h, %","Change 4h, %",Change %,Monthly Performance
NULSUSDT,Nuls / TetherUS,BINANCE,1.12506369,73.3707798,0.52112083,5277979.331,110478.67,1.266,1.2533,1.2452,0.02235,1.78%,1.26470148,1.21812026,-0.93273259,-0.93273259,3.15226337,7.03732172,-0.93273259,-6.1250468
ICXUSDT,ICON / TetherUS,BINANCE,2.42605249,53.83326047,0.09568989,11110475.53,16157.95,2.5057,2.4921,2.4901,0.04394286,1.76%,2.52799333,2.49717771,-0.40716937,-0.51894136,-0.98140496,0.47925896,-0.51894136,-3.89170897
MATICUSDT,MATIC Network / TetherUS,BINANCE,0.74821775,47.03330366,0.00855134,567625356.5,38688.2,0.76711,0.76607,0.76593,0.01321786,1.73%,0.76646296,0.77370597,0.00260988,-0.03262345,-1.66613183,0.6318472,-0.03262345,76.71827621
DEGOUSDT,DEGO / TetherUS,BINANCE,14.56206073,32.93715509,0.12850571,2627610.244,2612.393,14.647,14.601,14.571,0.24642857,1.69%,14.66162222,14.86595027,-0.34819417,-0.31405749,-1.60442227,-4.34497674,-0.31405749,-2.00655475
XEMUSDT,NEM / TetherUS,BINANCE,0.37093654,38.17553337,0.12275382,161245398.1,433647.7,0.3735,0.3713,0.371,0.00622857,1.68%,0.37474,0.37787434,-0.53576212,-0.53576212,-2.00580628,-4.2547705,-0.53576212,-18.67338004
CTSIUSDT,CTSI / TetherUS,BINANCE,0.77741144,25.99720094,0.01436073,58322160.13,10909.1,0.78219,0.78081,0.77914,0.01302286,1.67%,0.77740119,0.80075307,-0.09468364,-0.09468364,-1.63271477,-3.78662789,-0.09468364,28.85078715
WINGUSDT,WING / TetherUS,BINANCE,43.65692808,42.13807433,0.00093127,128958.1912,1.126,44.11,44.11,44.11,0.734,1.66%,44.61004815,44.60388683,0.00226711,0.00226711,-2.5042548,-0.88308653,0.00226711,-20.4263963
ATOMUSDT,Cosmos / TetherUS,BINANCE,25.16348042,58.91922106,0.04440491,3197922.204,2992.339,26.585,26.53,26.503,0.43885714,1.65%,26.75468519,26.33703966,-0.13183171,-0.07156578,0.32541244,3.86813875,-0.07156578,4.19874313
KAVAUSDT,Kava / TetherUS,BINANCE,6.18851934,45.5050678,0.03055296,4673142.888,1756.43,6.2544,6.2392,6.2347,0.10292857,1.65%,6.30914963,6.29796191,-0.18717305,-0.18717305,-2.36146539,-0.28444047,-0.18717305,-5.02796702
AIONUSDT,Aion / TetherUS,BINANCE,0.34531014,66.18372893,0.03060114,21639269.01,13662.17,0.3724,0.3719,0.371,0.00612143,1.65%,0.37229222,0.36849308,0.18857759,0.18857759,-0.05374899,3.01939058,0.18857759,-8.88182041
MBLUSDT,MBL / TetherUS,BINANCE,0.01421473,32.67171134,0.01758322,549903741.8,225563,0.014329,0.014318,0.0143,0.00023564,1.65%,0.01432818,0.01449687,0.11887281,0.11887281,-1.37080664,-4.62901292,0.11887281,-24.98559229
EPSUSDT,EPS / TetherUS,BINANCE,2.24426243,29.57916645,0.09034552,20288451.23,14941.14,2.255,2.251,2.25,0.03685714,1.64%,2.25735185,2.29622768,0,0,-2.34273319,-5.02109705,0,-22.54733219
FTMUSDT,Fantom / TetherUS,BINANCE,0.72125901,37.73542382,0.05500449,302635703.3,79670.5,0.72499,0.72201,0.722,0.01181857,1.64%,0.72420137,0.73288443,-0.3436853,-0.3436853,-1.92879749,-1.29193667,-0.3436853,58.92703957
LTOUSDT,LTO / TetherUS,BINANCE,0.55417873,28.02629415,0.25893658,17561173.68,41934,0.54998,0.54941,0.54679,0.00889,1.62%,0.55146615,0.5638496,0.25729927,0.25729927,-3.21665757,-4.12027503,0.25729927,-20.10894896
ORNUSDT,ORN / TetherUS,BINANCE,14.44388648,38.77434748,0.06241332,949906.2229,344.425,14.55,14.476,14.46,0.23242857,1.61%,14.55785926,14.68748967,-0.54960154,-0.54960154,-0.8764722,-2.2156174,-0.54960154,-8.23571175
ARDRUSDT,Ardor / TetherUS,BINANCE,0.38946948,55.8351135,0.04951715,10197663.96,8548.9,0.40206,0.40093,0.40093,0.00640714,1.60%,0.40214619,0.40031219,-0.33063193,-0.33063193,0.45046172,-1.84831571,-0.33063193,-9.60906184
LITUSDT,LIT / TetherUS,BINANCE,8.37179216,34.35897609,0.1112425,2501336.935,3594.43,8.3588,8.3298,8.31,0.13275,1.59%,8.3729737,8.50196997,-0.22638255,-0.22638255,-3.02232985,-2.68811552,-0.22638255,-26.02849155
UNFIUSDT,UNFI / TetherUS,BINANCE,24.79918382,41.90108473,0.07212607,403389.4496,366.211,25.002,24.984,24.975,0.393,1.57%,25.15462593,25.3305099,-0.1079525,-0.1079525,-2.74815103,-0.17979144,-0.1079525,-17.71455672
ZILUSDT,Zilliqa / TetherUS,BINANCE,0.22150003,33.77588278,0.09748209,342759121.3,539590.9,0.22455,0.22383,0.22355,0.00351357,1.57%,0.22437263,0.22824683,-0.28955809,-0.28955809,-1.43989432,-4.16184971,-0.28955809,-5.28807541
THETAUSDT,Theta Token / TetherUS,BINANCE,10.6995633,55.75465522,0.12508804,12274067.1,34561.789,11.169,11.154,11.12,0.17414286,1.56%,11.27639259,11.16219884,-0.08062349,-0.08062349,-0.92378753,2.64078027,-0.08062349,-21.44382794
DIAUSDT,DIA / TetherUS,BINANCE,4.59085598,32.98205147,0.49998811,4588759.091,15909.812,4.6,4.598,4.575,0.07171429,1.56%,4.61240741,4.67366361,-0.10862481,-0.10862481,-1.85699039,-3.11841551,-0.10862481,-3.7881959
ZENUSDT,Horizen / TetherUS,BINANCE,123.330163,42.98177523,0.07167799,209896.8022,314.5423,123.62,123.3,123.14,1.92214286,1.56%,123.9533333,125.2634871,-0.17810881,-0.17810881,-1.94051217,-3.18781407,-0.17810881,-2.01330546
CRVUSDT,CRV / TetherUS,BINANCE,3.21244795,42.61707824,0.06448244,16878189.75,15299.221,3.225,3.218,3.21,0.05007143,1.56%,3.22918148,3.26128696,-0.12414649,-0.12414649,-1.59021407,-0.74028378,-0.12414649,-17.51918159
ALGOUSDT,Algorand / TetherUS,BINANCE,1.51128325,54.97371165,0.0756484,35441049.55,50595.26,1.5677,1.5623,1.561,0.02408571,1.54%,1.56705444,1.56065443,-0.2935733,-0.2935733,0.32106852,1.15902616,-0.2935733,3.95506514
CTXCUSDT,Cortex / TetherUS,BINANCE,0.37325451,39.50376482,0.5050813,10735682.96,46525.7,0.3747,0.3721,0.3721,0.00572857,1.54%,0.37222148,0.37646268,-0.66737854,-0.42815092,-0.95821134,-2.15619248,-0.42815092,-14.89021043
